Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Race,Temp Start,Temp End,Temp,DT,Start Time,Bike?,Sleep,Game,Game 2wk,,Run Total,Run Pace,Run Diff,,Game Total,Game Pace,Game Dif,,Dif,,,,,,,
"Friday, January 1, 2016",,,,,,,,,,,,,,,,,0,,0,0.8,-0.8,,0,0.8,0.8,,0,,,,,,,Connor McDavid
"Saturday, January 2, 2016",,,,,,,,,,,,,,,,,0,,0,1.6,-1.6,,0,1.6,1.6,,0,,,,,,,Steven Stamkos
"Sunday, January 3, 2016",,,,,,,,,,,,,,,,,0,,0,2.5,-2.5,,0,2.5,2.5,,0,,,,,,,Patrick Kane
"Monday, January 4, 2016",,,,,,,,,,,,,,,,,0,,0,3.3,-3.3,,0,3.3,3.3,,0,,,,,,,John Tavares
"Tuesday, January 5, 2016",,,,,,,,,,,,,,,,,0,,0,4.1,-4.1,,0,4.1,4.1,,0,,,,,,,Taylor Hall
"Wednesday, January 6, 2016",,,,,,,,,,,,,,,,,0,,0,4.9,-4.9,,0,4.9,4.9,,0,,,,,,,Aaron Ekblad
"Thursday, January 7, 2016",,,,,,,,,,,,,,,,,0,,0,5.7,-5.7,,0,5.7,5.7,,0,,,,,,,Nathan MacKinnon
"Friday, January 8, 2016",,,,,,,,,,,,,,,,,0,,0,6.6,-6.6,,0,6.6,6.6,,0,,,,,,,Ryan Nugent-Hopkins
"Saturday, January 9, 2016",,,,,,,,,,,,,,,,,0,,0,7.4,-7.4,,0,7.4,7.4,,0,,,,,,,Erik Johnson
"Sunday, January 10, 2016",,,,,,,,,,,,,,,,,0,,0,8.2,-8.2,,0,8.2,8.2,,0,,,,,,,Nail Yakupov
"Monday, January 11, 2016",,,,,,,,,,,,,,,,,0,,0,9,-9,,0,9,9,,0,,,,,,,
"Tuesday, January 12, 2016",,,,,,,,,,,,,,,,,0,,0,9.8,-9.8,,0,9.8,9.8,,0,,,,,,,
"Wednesday, January 13, 2016",,,,,,,,,,,,,,,,,0,,0,10.7,-10.7,,0,10.7,10.7,,0,,,,,,,
"Thursday, January 14, 2016",,,,,,,,,,,,,,,,,0,,0,11.5,-11.5,,0,11.5,11.5,,0,,,,,,,
"Friday, January 15, 2016",,,,,,,,,,,,,,,,6.9,6.9,,0,12.3,-12.3,,6.9,12.3,5.4,,-6.9,,,,,,,
"Saturday, January 16, 2016",,,,,,,,,,,,,,,,1,7.9,,0,13.1,-13.1,,7.9,13.1,5.2,,-7.9,,,,,,,
"Sunday, January 17, 2016",,,,,,,,,,,,,,,,,7.9,,0,13.9,-13.9,,7.9,13.9,6,,-7.9,,,,,,,
"Monday, January 18, 2016",,,,,,,,,,,,,,,,,7.9,,0,14.8,-14.8,,7.9,14.8,6.9,,-7.9,,,,,,,
"Tuesday, January 19, 2016",,,,,,,,,,,,,,,,,7.9,,0,15.6,-15.6,,7.9,15.6,7.7,,-7.9,,,,,,,
"Wednesday, January 20, 2016",,,,,,,,,,,,,,,,,7.9,,0,16.4,-16.4,,7.9,16.4,8.5,,-7.9,,,,,,,
"Thursday, January 21, 2016",,,,,,,,,,,,,,,,5.4,13.3,,0,17.2,-17.2,,13.3,17.2,3.9,,-13.3,,,,,,,
"Friday, January 22, 2016",,,,,,,,,,,,,,,,2.1,15.4,,0,18,-18,,15.4,18,2.6,,-15.4,,,,,,,
"Saturday, January 23, 2016",,,,,,,,,,,,,,,,6,21.4,,0,18.9,-18.9,,21.4,18.9,-2.5,,-21.4,,,,,,,
"Sunday, January 24, 2016",,,,,,,,,,,,,,,,,21.4,,0,19.7,-19.7,,21.4,19.7,-1.7,,-21.4,,,,,,,
"Monday, January 25, 2016",,,,,,,,,,,,,,,,,21.4,,0,20.5,-20.5,,21.4,20.5,-0.9,,-21.4,,,,,,,
"Tuesday, January 26, 2016",,,,,,,,,,,,,,,,1.5,22.9,,0,21.3,-21.3,,22.9,21.3,-1.6,,-22.9,,,,,,,
"Wednesday, January 27, 2016",,,,,,,,,,,,,,,,,22.9,,0,22.1,-22.1,,22.9,22.1,-0.8,,-22.9,,,,,,,
"Thursday, January 28, 2016",,,,,,,,,,,,,,,,7.5,30.4,,0,23,-23,,30.4,23,-7.4,,-30.4,,,,,,,
"Friday, January 29, 2016",,,,,,,,,,,,,,,,3.1,26.6,,0,23.8,-23.8,,33.5,23.8,-9.7,,-33.5,,,,,,,
"Saturday, January 30, 2016",,,,,,,,,,,,,,,,3.6,29.2,,0,24.6,-24.6,,37.1,24.6,-12.5,,-37.1,,,,,,,
"Sunday, January 31, 2016",,,,,,,,,,,,,,,,,29.2,,0,25.4,-25.4,,37.1,25.4,-11.7,,-37.1,,,,,,,
"Monday, February 1, 2016",,,,,,,,,,,,,,,,,29.2,,0,26.2,-26.2,,37.1,26.2,-10.9,,-37.1,,,,,,,
"Tuesday, February 2, 2016",,,,,,,,,,,,,,,,,29.2,,0,27,-27,,37.1,27,-10.1,,-37.1,,,,,,,
"Wednesday, February 3, 2016",0.5,2.17,4:20,13.85,Pants,Blue Hoodie,,,,,12,12,17:05,,8,,29.2,,0.5,27.9,-27.4,,37.1,27.9,-9.2,,-36.6,,,,,,,
"Thursday, February 4, 2016",,,,,,,,,,,,,,,,1.9,25.7,,0.5,28.7,-28.2,,39,28.7,-10.3,,-38.5,,,,,,,
"Friday, February 5, 2016",,,,,,,,,,,,,,,,2,25.6,,0.5,29.5,-29,,41,29.5,-11.5,,-40.5,,,,,,,
"Saturday, February 6, 2016",,,,,,,,,,,,,,,,,19.6,,0.5,30.3,-29.8,,41,30.3,-10.7,,-40.5,,,,,,,
"Sunday, February 7, 2016",,,,,,,,,,,,,,,,,19.6,,0.5,31.1,-30.6,,41,31.1,-9.9,,-40.5,,,,,,,
"Monday, February 8, 2016",,,,,,,,,,,,,,,,,19.6,,0.5,32,-31.5,,41,32,-9,,-40.5,,,,,,,
"Tuesday, February 9, 2016",,,,,,,,,,,,,,,,,18.1,,0.5,32.8,-32.3,,41,32.8,-8.2,,-40.5,,,,,,,
"Wednesday, February 10, 2016",,,,,,,,,,,,,,,,,18.1,,0.5,33.6,-33.1,,41,33.6,-7.4,,-40.5,,,,,,,
"Thursday, February 11, 2016",,,,,,,,,,,,,,,,,10.6,,0.5,34.4,-33.9,,41,34.4,-6.6,,-40.5,,,,,,,
"Friday, February 12, 2016",,,,,,,,,,,,,,,,,7.5,,0.5,35.2,-34.7,,41,35.2,-5.8,,-40.5,,,,,,,
"Saturday, February 13, 2016",,,,,,,,,,,,,,,,,3.9,,0.5,36.1,-35.6,,41,36.1,-4.9,,-40.5,,,,,,,
"Sunday, February 14, 2016",,,,,,,,,,,,,,,,,3.9,,0.5,36.9,-36.4,,41,36.9,-4.1,,-40.5,,,,,,,
"Monday, February 15, 2016",,,,,,,,,,,,,,,,,3.9,,0.5,37.7,-37.2,,41,37.7,-3.3,,-40.5,,,,,,,
"Tuesday, February 16, 2016",,,,,,,,,,,,,,,,,3.9,,0.5,38.5,-38,,41,38.5,-2.5,,-40.5,,,,,,,
"Wednesday, February 17, 2016",,,,,,,,,,,,,,,,,3.9,,0.5,39.3,-38.8,,41,39.3,-1.7,,-40.5,,,,,,,
"Thursday, February 18, 2016",,,,,,,,,,,,,,,,,2,,0.5,40.2,-39.7,,41,40.2,-0.8,,-40.5,,,,,,,
"Friday, February 19, 2016",,,,,,,,,,,,,,,,,0,,0.5,41,-40.5,,41,41,0,,-40.5,,,,,,,
"Saturday, February 20, 2016",,,,,,,,,,,,,,,,5.1,5.1,,0.5,41.8,-41.3,,46.1,41.8,-4.3,,-45.6,,,,,,,
"Sunday, February 21, 2016",,,,,,,,,,,,,,,,2.5,7.6,,0.5,42.6,-42.1,,48.6,42.6,-6,,-48.1,,,,,,,
"Monday, February 22, 2016",,,,,,,,,,,,,,,,,7.6,,0.5,43.4,-42.9,,48.6,43.4,-5.2,,-48.1,,,,,,,
"Tuesday, February 23, 2016",,,,,,,,,,,,,,,,,7.6,,0.5,44.3,-43.8,,48.6,44.3,-4.3,,-48.1,,,,,,,
"Wednesday, February 24, 2016",,,,,,,,,,,,,,,,,7.6,,0.5,45.1,-44.6,,48.6,45.1,-3.5,,-48.1,,,,,,,
"Thursday, February 25, 2016",,,,,,,,,,,,,,,,,7.6,,0.5,45.9,-45.4,,48.6,45.9,-2.7,,-48.1,,,,,,,
"Friday, February 26, 2016",,,,,,,,,,,,,,,,,7.6,,0.5,46.7,-46.2,,48.6,46.7,-1.9,,-48.1,,,,,,,
"Saturday, February 27, 2016",,,,,,,,,,,,,,,,,7.6,,0.5,47.5,-47,,48.6,47.5,-1.1,,-48.1,,,,,,,
"Sunday, February 28, 2016",,,,,,,,,,,,,,,,1.4,9,,0.5,48.4,-47.9,,50,48.4,-1.6,,-49.5,,,,,,,
"Monday, February 29, 2016",,,,,,,,,,,,,,,,,9,,0.5,49.2,-48.7,,50,49.2,-0.8,,-49.5,,,,,,,
"Tuesday, March 1, 2016",,,,,,,,,,,,,,,,,9,,0.5,50,-49.5,,50,50,0,,-49.5,,,,,,,
"Wednesday, March 2, 2016",,,,,,,,,,,,,,,,2,11,,0.5,50.8,-50.3,,52,50.8,-1.2,,-51.5,,,,,,,
"Thursday, March 3, 2016",,,,,,,,,,,,,,,,,11,,0.5,51.6,-51.1,,52,51.6,-0.4,,-51.5,,,,,,,
"Friday, March 4, 2016",,,,,,,,,,,,,,,,1,12,,0.5,52.5,-52,,53,52.5,-0.5,,-52.5,,,,,,,
"Saturday, March 5, 2016",,,,,,,,,,,,,,,,4.1,11,,0.5,53.3,-52.8,,57.1,53.3,-3.8,,-56.6,,,,,,,
